input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,min_selected,max_selected,fairness,min_fairness,max_fairness,fraction_opt,min_fraction_opt,max_fraction_opt,inverse_ratio,min_inverse_ratio,max_inverse_ratio,delta,opt_by_group,selected_by_group,num_levels,source_csv,workload,assignment,instance_seed,num_unserved_groups,worst_fairness_group,worst_group_opt,worst_group_selected,recomputed_fairness
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_greedy,deterministic,1.0,20905.0,20905.0,20905.0,inf,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,71998.0,"{""1"": 5591, ""2"": 5115, ""3"": 5133, ""4"": 4850, ""5"": 4765, ""6"": 3393, ""7"": 2210, ""8"": 1307, ""9"": 753, ""10"": 397}","{""1"": 5569, ""2"": 5087, ""3"": 5118, ""4"": 4823, ""5"": 303, ""6"": 5, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}",,experiment_results.csv,CTC-SP2-1996,containment_quantile,,4,7,2210.0,0.0,inf
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,1.0,10,offline_deterministic,deterministic,1.0,15436.0,15436.0,15436.0,10.179487179487179,10.179487179487179,10.179487179487179,0.7383879454675915,0.7383879454675915,0.7383879454675915,1.354301632547292,1.354301632547292,1.354301632547292,71998.0,"{""1"": 5591, ""2"": 5115, ""3"": 5133, ""4"": 4850, ""5"": 4765, ""6"": 3393, ""7"": 2210, ""8"": 1307, ""9"": 753, ""10"": 397}","{""1"": 4930, ""2"": 2787, ""3"": 3333, ""4"": 2975, ""5"": 605, ""6"": 340, ""7"": 221, ""8"": 131, ""9"": 75, ""10"": 39}",,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,10,397.0,39.0,10.179487179487179
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,offline_randomized,randomized,1000.0,15228.825,6251.0,20905.0,10.56966540295876,1.4822379213547452,10.56966540295876,0.7284776369289644,0.29901937335565654,1.0,1.372725735570538,1.0,3.344264917613182,71998.0,"{""1"": 5591, ""2"": 5115, ""3"": 5133, ""4"": 4850, ""5"": 4765, ""6"": 3393, ""7"": 2210, ""8"": 1307, ""9"": 753, ""10"": 397}","{""1"": 3633.305, ""2"": 3450.863, ""3"": 3456.363, ""4"": 3268.772, ""5"": 625.854, ""6"": 321.013, ""7"": 216.58, ""8"": 138.542, ""9"": 79.818, ""10"": 37.715}",,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,6,3393.0,321.013,10.56966540295876
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,online_randomized_fair,randomized,1000.0,215.621,0.0,1868.0,251.43277002204263,83.46637716329268,251.43277002204263,0.010314326716096629,0.0,0.08935661325041856,96.95252317724155,11.191113490364026,inf,71998.0,"{""1"": 5591, ""2"": 5115, ""3"": 5133, ""4"": 4850, ""5"": 4765, ""6"": 3393, ""7"": 2210, ""8"": 1307, ""9"": 753, ""10"": 397}","{""1"": 32.443, ""2"": 28.727, ""3"": 20.415, ""4"": 33.04, ""5"": 23.356, ""6"": 29.803, ""7"": 19.965, ""8"": 15.659, ""9"": 8.138, ""10"": 4.075}",17.0,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,3,5133.0,20.415,251.43277002204263
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_10groups.csv,10,,,crs,randomized,1000.0,1889.251,12.0,7044.0,21.49630525204587,13.992668828422389,21.49630525204587,0.09037316431475724,0.0005740253527864147,0.33695288208562546,11.065231671175509,2.9677739920499717,1742.0833333333333,71998.0,"{""1"": 5591, ""2"": 5115, ""3"": 5133, ""4"": 4850, ""5"": 4765, ""6"": 3393, ""7"": 2210, ""8"": 1307, ""9"": 753, ""10"": 397}","{""1"": 322.694, ""2"": 297.003, ""3"": 298.55, ""4"": 272.386, ""5"": 221.666, ""6"": 186.725, ""7"": 138.868, ""8"": 80.723, ""9"": 42.264, ""10"": 28.372}",17.0,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,5,4765.0,221.666,21.49630525204587
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_greedy,deterministic,1.0,20905.0,20905.0,20905.0,791.0,791.0,791.0,1.0,1.0,1.0,1.0,1.0,1.0,71998.0,"{""1"": 20905, ""2"": 3955}","{""1"": 20900, ""2"": 5}",,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,2,3955.0,5.0,791.0
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,1.0,2,offline_deterministic,deterministic,1.0,17457.0,17457.0,17457.0,1.999494438827098,1.999494438827098,1.999494438827098,0.8350633819660368,0.8350633819660368,0.8350633819660368,1.197513891275706,1.197513891275706,1.197513891275706,71998.0,"{""1"": 20905, ""2"": 3955}","{""1"": 15479, ""2"": 1978}",,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,2,3955.0,1978.0,1.999494438827098
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,offline_randomized,randomized,1000.0,16879.168,12821.0,20905.0,2.0080321285140563,1.4021188258983588,2.0080321285140563,0.8074225304950968,0.6132982540062186,1.0,1.2385089122876198,1.0,1.6305280399344826,71998.0,"{""1"": 20905, ""2"": 3955}","{""1"": 14909.578, ""2"": 1969.59}",,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,2,3955.0,1969.59,2.0080321285140563
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,online_randomized_fair,randomized,1000.0,1011.336,0.0,7000.0,27.561084618660328,15.642365299657094,27.561084618660328,0.04837770868213346,0.0,0.3348481224587419,20.67067720322425,2.986428571428571,inf,71998.0,"{""1"": 20905, ""2"": 3955}","{""1"": 758.497, ""2"": 252.839}",17.0,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,1,20905.0,758.497,27.561084618660328
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_2groups.csv,2,,,crs,randomized,1000.0,1889.251,12.0,7044.0,14.802106352833217,8.292239051309146,14.802106352833217,0.09037316431475724,0.0005740253527864147,0.33695288208562546,11.065231671175509,2.9677739920499717,1742.0833333333333,71998.0,"{""1"": 20905, ""2"": 3955}","{""1"": 1412.299, ""2"": 476.952}",17.0,experiment_results.csv,CTC-SP2-1996,containment_quantile,,0,1,20905.0,1412.299,14.802106352833217
